Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
"Desmond ""Des"" Abbott",M,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
"Matthew ""Matt"" Abood",M,30,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Brazil,1,2868,2868
Brett Aitken,M,21,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Spain,1,636,636
Brett Aitken,M,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,United States of America,5,898,1944.05
Brett Aitken,M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,Australia,1,1332,1332
"Kate Ruth ""Katie"" Allen",F,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
"Sandra Louise ""Sandy"" Allen-Lewis",F,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
"Sandra Louise ""Sandy"" Allen-Lewis",F,25,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
"Sandra Louise ""Sandy"" Allen-Lewis",F,29,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,China,1,1739,1739
"Judith Florence ""Judy"" Amoore-Pollock",F,24,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Bronze,Japan,4,1.6,3694.1
Craig Anthony Anderson,M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
John Edward Anderson,M,33,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold,Germany,1,18,18
